Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsPPR,FantasyPointSnapPercentagePPR,Year
259,Markus Wheaton,PIT,WR,3,97,32.3,9,0,9.3,4.1,9.3,17.1,17.6,2016
267,Thomas Davis,CAR,OLB,16,1008,63,94.3,0,0,0,0,135.5,13.4,2016
267,Marqise Lee,JAX,WR,16,817,51.1,73.5,0.7,12.9,8.6,13.7,172.4,21.1,2016
267,Devante Parker,MIA,WR,15,736,49.1,77.6,0,12,7.6,12,154.4,21,2016
267,Benson Mayowa,DAL,DE,13,382,29.4,36.2,0,0,0,0,51.3,13.4,2016
271,Tony Jefferson,ARI,SS,15,928,61.9,86.4,0,0,0,0,123.7,13.3,2016
271,Marvin Jones,DET,WR,15,879,58.6,84.8,0.1,11.7,6.4,11.8,172.3,19.6,2016
271,Justin March,KC,OLB,5,162,32.4,14.5,0,0,0,0,21.5,13.3,2016
274,Christian Kirksey,CLE,OLB,16,1112,69.5,99.9,0,0,0,0,146.3,13.2,2016
274,Jamie Collins,CLE,OLB,15,980,65.3,88.8,0,0,0,0,129.3,13.2,2016
274,Tahir Whitehead,DET,OLB,15,934,62.3,90.9,0,0,0,0,123.5,13.2,2016
274,Everson Griffen,MIN,DE,16,888,55.5,86.1,0,0,0,0,117.4,13.2,2016
274,Coby Fleener,NO,TE,16,663,41.4,57.6,0.2,12.4,7.7,12.5,137.3,20.7,2016
274,John Simon,HOU,LB,11,519,47.2,52.1,0,0,0,0,68.4,13.2,2016
274,Cam Johnson,CLE,DE,12,351,29.2,39.3,0,0,0,0,46.2,13.2,2016
274,Bryce Petty,NYJ,QB,6,245,40.8,23.5,2,0,56.3,56.3,32.26,13.2,2016
282,KJ Wright,SEA,OLB,16,1051,65.7,97.4,0,0,0,0,138.1,13.1,2016
282,Carlos Dunlap,CIN,DE,16,838,52.4,77.5,0,0,0,0,109.6,13.1,2016
282,Erik Walden,IND,OLB,16,761,47.6,70.7,0,0,0,0,99.7,13.1,2016
282,Brandon Flowers,LAC,CB,6,351,58.5,33.1,0,0,0,0,46,13.1,2016
282,Jaron Brown,ARI,WR,7,189,27,16.4,0,12.2,5.8,12.2,35.7,18.9,2016
287,Larry Fitzgerald,ARI,WR,16,1052,65.8,91.4,0.2,14.3,10.5,14.5,243.8,23.2,2016
287,Kyle Rudolph,MIN,TE,16,970,60.6,92.1,0,13.6,8.6,13.6,209,21.5,2016
287,Melvin Ingram,LAC,DE,16,961,60.1,90.7,0,0,0,0,124.6,13,2016
287,Martellus Bennett,NE,TE,16,870,54.4,77.6,0.2,8.4,6.6,8.6,168.1,19.3,2016
287,Randall Cobb,GB,WR,13,681,52.4,62.6,1.5,12.3,10.3,13.8,148.3,21.8,2016
287,Sean Spence,TEN,ILB,15,505,33.7,47.2,0,0,0,0,65.7,13,2016
293,Paul Posluszny,JAX,ILB,16,1057,66.1,98.2,0,0,0,0,136.7,12.9,2016
293,Barry Church,DAL,SS,12,674,56.2,63.9,0,0,0,0,87,12.9,2016
293,Dwayne Allen,IND,TE,14,611,43.6,55.7,0,8.5,5.7,8.5,113.6,18.6,2016
293,Phillip Gaines,KC,CB,11,450,40.9,40.3,0,0,0,0,58,12.9,2016
293,Koa Misi,MIA,OLB,3,128,42.7,11.1,0,0,0,0,16.5,12.9,2016
298,Kiko Alonso,MIA,OLB,15,1050,70,91.1,0,0,0,0,134.5,12.8,2016
298,Whitney Mercilus,HOU,OLB,15,874,58.3,87.8,0,0,0,0,111.85,12.8,2016
298,Quincy Enunwa,NYJ,WR,16,873,54.6,83.7,0.2,12,6.9,12.3,169.8,19.5,2016
