Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsPPR,FantasyPointSnapPercentagePPR,Year
263,Kyle Williams,BUF,DT,16,940,58.8,82.1,0,0,0,0,126.7,13.5,2013
263,Cameron Wake,MIA,DE,15,680,45.3,59.4,0,0,0,0,92.1,13.5,2013
263,Jeff Tarpinian,HOU,ILB,8,180,22.5,29.5,0,0,0,0,24.3,13.5,2013
268,Calais Campbell,ARI,DE,16,963,60.2,89,0,0,0,0,128.6,13.4,2013
268,Curtis Lofton,NO,ILB,16,934,58.4,96.1,0,0,0,0,125.4,13.4,2013
268,Nickell Robey,BUF,CB,16,610,38.1,53.3,0,0,0,0,81.8,13.4,2013
268,Dan Williams,ARI,NT,14,286,20.4,26.4,0,0,0,0,38.3,13.4,2013
272,Mike Wallace,MIA,WR,16,951,59.4,92.6,0.3,14.8,8,15.1,199.3,21,2013
272,Jared Cook,LAR,TE,16,717,44.8,71.4,0,11.9,7.1,11.9,146.1,20.4,2013
272,Clinton McDonald,SEA,DT,15,531,35.4,54.3,0,0,0,0,70.4,13.3,2013
275,Linval Joseph,NYG,NT,15,578,38.5,51.3,0,0,0,0,76.1,13.2,2013
275,Danny Amendola,NE,WR,12,571,47.6,47.7,0.2,14.5,9.6,14.7,129.4,22.7,2013
275,Koa Misi,MIA,OLB,15,473,31.5,41.3,0,0,0,0,62.6,13.2,2013
275,Audie Cole,MIN,OLB,13,323,24.8,31.6,0,0,0,0,42.7,13.2,2013
279,DeMeco Ryans,PHI,ILB,16,1159,72.4,98.3,0,0,0,0,152.1,13.1,2013
279,Nick Roach,OAK,ILB,16,1074,67.1,100,0,0,0,0,140.7,13.1,2013
279,Perry Riley,WAS,ILB,16,989,61.8,96.9,0,0,0,0,129.3,13.1,2013
279,Osi Umenyiora,ATL,OLB,16,727,45.4,69.8,0,0,0,0,95.6,13.1,2013
279,Nick Perry,GB,OLB,11,367,33.4,35,0,0,0,0,47.9,13.1,2013
284,John Abraham,ARI,OLB,16,862,53.9,79.7,0,0,0,0,111.9,13,2013
284,Charles Johnson,CAR,DE,14,718,51.3,70.9,0,0,0,0,93.2,13,2013
284,Ezekiel Ansah,DET,DE,14,553,39.5,53.6,0,0,0,0,71.7,13,2013
284,Akeem Dent,ATL,OLB,15,363,24.2,34.9,0,0,0,0,47.2,13,2013
288,Joe Mays,HOU,ILB,14,544,38.9,54,0,0,0,0,70.2,12.9,2013
288,Wallace Gilberry,CIN,DE,16,509,31.8,47.6,0,0,0,0,65.6,12.9,2013
288,Andre Holmes,OAK,WR,10,380,38,51.9,0,13.7,6.6,13.7,74.1,19.5,2013
288,Parys Haralson,NO,OLB,16,360,22.5,37,0,0,0,0,46.6,12.9,2013
292,Carlos Dunlap,CIN,DE,16,936,58.5,87.6,0,0,0,0,119.5,12.8,2013
292,Steve Smith,CAR,WR,15,770,51.3,74.8,0,14.3,8.3,14.3,162.5,21.1,2013
292,Damon Harrison,NYJ,NT,16,499,31.2,45.3,0,0,0,0,63.7,12.8,2013
295,Chris Ogbonnaya,CLE,RB,16,521,32.6,47.1,9.2,14.4,18.4,23.6,114.2,21.9,2013
295,Vince Williams,PIT,ILB,15,398,26.5,37.2,0,0,0,0,50.5,12.7,2013
297,Torrey Smith,BAL,WR,16,1098,68.6,96.7,0,12.5,5.9,12.5,203.8,18.6,2013
297,James Anderson,CHI,ILB,16,998,62.4,95.8,0,0,0,0,126.2,12.6,2013
297,Eric Weddle,LAC,FS,16,993,62.1,100,0.2,0,0.2,0.2,125.5,12.6,2013
297,Mark Barron,TB,ILB,14,834,59.6,80,0,0,0,0,104.9,12.6,2013
