Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsPPR,FantasyPointSnapPercentagePPR,Year
151,Nick Fairley,DET,DT,13,494,38,54.4,0,0,0,0,80.3,16.3,2012
154,James Jones,GB,WR,16,1001,62.6,90.8,0,9.8,6.4,9.8,226.4,22.6,2012
155,Golden Tate,SEA,WR,15,717,47.8,70.6,0.4,9.3,6.8,9.9,160.72,22.4,2012
155,Antonio Brown,PIT,WR,13,654,50.3,61.3,1.1,16.2,11.5,17.6,171.1,26.2,2012
155,Rashad Jennings,JAX,RB,10,331,33.1,33.5,30.5,7.9,36.3,38.4,72.3,21.8,2012
158,Bryan Scott,BUF,OLB,16,590,36.9,54.3,0,0,0,0,94.5,16,2012
159,Wes Welker,NE,WR,16,1076,67.2,86.8,0.2,16.3,11.2,16.4,289.4,26.9,2012
159,Brian Orakpo,WAS,OLB,2,83,41.5,59.3,0,0,0,0,13.2,15.9,2012
161,Clay Matthews,GB,OLB,12,727,60.6,66.8,0,0,0,0,114.8,15.8,2012
161,Jared Cook,TEN,TE,13,470,36.2,57,0,15.3,9.4,15.3,118.3,25.2,2012
161,Bront Bird,LAC,ILB,5,111,22.2,32.4,0,0,0,0,17.5,15.8,2012
164,Derrick Johnson,KC,ILB,16,963,60.2,96.5,0,0,0,0,151.5,15.7,2012
164,John Abraham,ATL,OLB,16,732,45.8,71.6,0,0,0,0,115,15.7,2012
164,Everson Griffen,MIN,DE,16,607,37.9,53.9,0,0,0,0,95.2,15.7,2012
164,Junior Galette,NO,OLB,12,298,24.8,26.2,0,0,0,0,46.7,15.7,2012
168,Steve Smith,CAR,WR,16,911,56.9,88.4,0.3,15.1,8.3,15.5,215.1,23.6,2012
168,Mike Wallace,PIT,WR,15,835,55.7,82.7,0.6,14.3,8.3,14.9,194.3,23.3,2012
168,Kelvin Sheppard,BUF,ILB,16,504,31.5,46.4,0,0,0,0,78.7,15.6,2012
171,Sidney Rice,SEA,WR,16,765,47.8,75.3,0.3,10.7,7.1,11.2,168.4,22,2012
171,Andrew Hawkins,CIN,WR,14,519,37.1,49.1,1.2,15.4,11,16.6,131.3,25.3,2012
171,Travis Benjamin,CLE,WR,14,299,21.4,29,2,12.4,8,14.4,64.4,21.5,2012
171,Ryan Broyles,DET,WR,10,278,27.8,31,0,11.5,7.9,11.5,65,23.4,2012
175,Lavonte David,TB,OLB,16,1059,66.2,98.6,0,0,0,0,162.9,15.4,2012
175,Akeem Ayers,TEN,OLB,16,861,53.8,76.4,0,0,0,0,132.5,15.4,2012
175,Craig Robertson,CLE,ILB,16,612,38.2,52.7,0,0,0,0,94.5,15.4,2012
175,Greg Toler,ARI,CB,11,302,27.5,28,0,0,0,0,46.5,15.4,2012
179,London Fletcher,WAS,ILB,16,1008,63,93.9,0,0,0,0,154.7,15.3,2012
179,Kendall Wright,TEN,WR,15,556,37.1,55.8,0.2,18.7,11.7,18.9,149,26.8,2012
181,Chase Blackburn,NYG,OLB,15,783,52.2,75.1,0,0,0,0,119.4,15.2,2012
181,Kevin Ogletree,DAL,WR,15,452,30.1,41.1,0.4,12.2,7.5,12.6,100.5,22.2,2012
181,Bruce Irvin,SEA,DE,16,435,27.2,43.9,0,0,0,0,66,15.2,2012
181,Mario Manningham,SF,WR,12,363,30.2,38.7,0.8,15.7,12.4,16.5,97.3,26.8,2012
185,Reggie Wayne,IND,WR,16,1079,67.4,92.3,0.1,18.1,9.9,18.2,269,24.9,2012
185,Cameron Wake,MIA,DE,16,914,57.1,81.8,0,0,0,0,137.7,15.1,2012
185,Randy Moss,SF,WR,16,406,25.4,40.4,0,12.3,6.9,12.3,89.4,22,2012
188,Brandon Spikes,NE,ILB,15,724,48.3,66.2,0,0,0,0,108.7,15,2012
188,Rob Jackson,WAS,OLB,16,584,36.5,54.4,0,0,0,0,87.7,15,2012
190,Jerod Mayo,NE,ILB,16,1050,65.6,96,0,0,0,0,156.9,14.9,2012
190,Miles Austin,DAL,WR,16,860,53.8,78.2,0,13.8,7.7,13.8,194.3,22.6,2012
190,Koa Misi,MIA,OLB,14,550,39.3,49.2,0,0,0,0,82,14.9,2012
193,Jo-Lonn Dunbar,LAR,OLB,16,1060,66.2,98.5,0,0,0,0,157.1,14.8,2012
193,Chris Givens,LAR,WR,15,615,41,58.9,0.5,13,7.3,13.5,133,21.6,2012
193,Julian Edelman,NE,WR,9,297,33,32.3,1.3,10.8,8.4,12.1,65,21.9,2012
193,Brian Cushing,HOU,ILB,5,246,49.2,80.7,0,0,0,0,36.5,14.8,2012
197,Steve Johnson,BUF,WR,16,940,58.8,93,0,15.7,8.4,15.7,217.6,23.1,2012
197,Joseph Morgan,NO,WR,14,382,27.3,34.5,0.3,5.2,2.9,5.5,66,17.3,2012
199,Tony Gonzalez,ATL,TE,16,966,60.4,91.1,0,12.8,9.6,12.8,234,24.2,2012
199,Torrey Smith,BAL,WR,16,919,57.4,84.2,0.3,12,5.7,12.3,183.4,20,2012
199,Denarius Moore,OAK,WR,15,794,52.9,73.5,0.1,14.4,6.5,14.5,166.6,21,2012
202,NaVorro Bowman,SF,ILB,16,1004,62.8,96.1,0,0,0,0,144.4,14.4,2012
202,Fletcher Cox,PHI,DT,15,509,33.9,48.6,0,0,0,0,73.5,14.4,2012
202,Greg Jennings,GB,WR,8,420,52.5,38.1,0,14.8,8.6,14.8,96.6,23,2012
205,Paul Posluszny,JAX,ILB,16,1125,70.3,98.8,0,0,0,0,160.5,14.3,2012
205,Richard Sherman,SEA,CB,16,950,59.4,96,0,0,0,0,136.1,14.3,2012
205,Charles Johnson,CAR,DE,16,833,52.1,79.3,0,0,0,0,119.5,14.3,2012
205,Joselio Hanson,OAK,CB,16,553,34.6,53.6,0,0,0,0,79,14.3,2012
205,Ellis Lankster,NYJ,CB,15,326,21.7,30.6,0,0,0,0,46.7,14.3,2012
210,Julius Peppers,CHI,DE,16,783,48.9,75.4,0,0,0,0,111,14.2,2012
210,Thomas Davis,CAR,OLB,15,778,51.9,74,0,0,0,0,110.5,14.2,2012
210,Donald Butler,LAC,OLB,12,706,58.8,66.8,0,0,0,0,100.3,14.2,2012
210,Ray Lewis,BAL,LB,6,441,73.5,86.8,0,0,0,0,62.5,14.2,2012
214,Heath Miller,PIT,TE,15,934,62.3,92.5,0,10.8,7.6,10.8,202.6,21.7,2012
214,Brandon Stokley,DEN,WR,15,597,39.8,52.2,0,9.9,7.5,9.9,129.4,21.7,2012
214,Will Witherspoon,TEN,OLB,14,388,27.7,34.4,0,0,0,0,54.7,14.1,2012
214,Chris Canty,NYG,DE,9,297,33,43.4,0,0,0,0,41.9,14.1,2012
218,Russell Allen,JAX,OLB,16,996,62.2,87.4,0,0,0,0,139.4,14,2012
218,Demarcus Ware,DAL,OLB,16,869,54.3,84.5,0,0,0,0,122,14,2012
218,Shaun Phillips,LAC,OLB,16,836,52.2,79.1,0,0,0,0,116.8,14,2012
218,William Moore,ATL,SS,12,758,63.2,74.2,0,0,0,0,106.3,14,2012
222,James Laurinaitis,LAR,ILB,16,1076,67.2,100,0,0,0,0,149.8,13.9,2012
222,Jerrell Freeman,IND,ILB,16,1041,65.1,98.7,0,0,0,0,145.2,13.9,2012
222,Patrick Willis,SF,ILB,16,987,61.7,94.4,0,0,0,0,137.4,13.9,2012
222,Sean Weatherspoon,ATL,ILB,13,829,63.8,81.1,0,0,0,0,115.5,13.9,2012
222,Corey Liuget,LAC,DT,16,715,44.7,67.6,0,0,0,0,99.1,13.9,2012
222,Aaron Hernandez,NE,TE,10,565,56.5,45.6,0.2,14.7,9.2,14.9,129.8,23,2012
228,Chad Greenway,MIN,OLB,16,1124,70.2,99.7,0,0,0,0,155.4,13.8,2012
228,Larry Foote,PIT,ILB,16,968,60.5,98.2,0,0,0,0,133.9,13.8,2012
228,Jeremy Kerley,NYJ,WR,16,663,41.4,61.7,0.8,14.5,9.4,15.4,147.18,22.2,2012
228,Kenny Britt,TEN,WR,14,600,42.9,64.4,0,15,7.5,15,127.9,21.3,2012
228,Tim Dobbins,HOU,ILB,14,389,27.8,36.9,0,0,0,0,53.5,13.8,2012
228,Jason Campbell,CHI,QB,6,126,21,12,5.6,0,46,46,17.4,13.8,2012
234,Vontaze Burfict,CIN,OLB,16,886,55.4,83.8,0,0,0,0,121.1,13.7,2012
234,Michael Johnson,CIN,DE,16,853,53.3,80.7,0,0,0,0,116.6,13.7,2012
234,Calais Campbell,ARI,DE,13,753,57.9,69.7,0,0,0,0,103.3,13.7,2012
237,Justin Houston,KC,OLB,16,993,62.1,99.5,0,0,0,0,135.4,13.6,2012
237,Matt Cassel,KC,QB,9,578,64.2,54.9,4.7,0,52.6,52.6,78.34,13.6,2012
237,Brad Smith,BUF,WR,15,314,20.9,31.1,4.5,7,9.2,11.8,56.8,18.1,2012
240,Lance Briggs,CHI,OLB,16,1007,62.9,97,0,0,0,0,136.3,13.5,2012
240,Anquan Boldin,BAL,WR,15,877,58.5,80.4,0.1,12.8,7.5,12.9,183.4,20.9,2012
240,Stevie Brown,NYG,SS,16,829,51.8,79.5,0,0,0,0,112,13.5,2012
240,Brian Urlacher,CHI,LB,12,716,59.7,69,0,0,0,0,96.5,13.5,2012
240,Jason Babin,JAX,OLB,16,653,40.8,62.5,0,0,0,0,88.4,13.5,2012
245,Austin Pettis,LAR,WR,14,374,26.7,40.7,0,12.8,8,12.8,80.1,21.4,2012
246,Philip Wheeler,OAK,OLB,16,1016,63.5,98.5,0,0,0,0,135,13.3,2012
246,Jason Pierre-Paul,NYG,DE,16,875,54.7,83.9,0,0,0,0,116.2,13.3,2012
246,Josh Gordon,CLE,WR,16,815,50.9,79,0,11.7,6.1,11.7,158.5,19.4,2012
246,Erin Henderson,MIN,ILB,14,677,48.4,60.1,0,0,0,0,90.2,13.3,2012
246,Bart Scott,NYJ,LB,15,572,38.1,53.6,0,0,0,0,76.3,13.3,2012
246,Arthur Jones,BAL,DE,16,528,33,46.5,0,0,0,0,70,13.3,2012
246,Albert McClellan,BAL,ILB,14,426,30.4,37.5,0,0,0,0,56.6,13.3,2012
246,Manny Lawson,CIN,OLB,16,353,22.1,33.4,0,0,0,0,47.1,13.3,2012
254,Malcom Floyd,LAC,WR,14,846,60.4,92.7,0,10,6.6,10,167.4,19.8,2012
254,Michael Boley,NYG,OLB,16,839,52.4,80.4,0,0,0,0,111.1,13.2,2012
254,Brad Jones,GB,ILB,16,673,42.1,61.9,0,0,0,0,88.9,13.2,2012
254,Cortez Allen,PIT,CB,15,543,36.2,55.1,0,0,0,0,71.5,13.2,2012
254,Dan Connor,DAL,ILB,14,340,24.3,33,0,0,0,0,45,13.2,2012
254,Nick Perry,GB,OLB,6,198,33,31.4,0,0,0,0,26.2,13.2,2012
260,Rod Streater,OAK,WR,16,581,36.3,53.8,0,12.7,6.7,12.7,115.4,19.9,2012
260,Mike Neal,GB,OLB,11,260,23.6,31.4,0,0,0,0,34.1,13.1,2012
262,Janoris Jenkins,LAR,CB,15,955,63.7,88.8,0,0,0,0,124.5,13,2012
262,Andre Roberts,ARI,WR,15,838,55.9,79.7,0.5,13.6,8.1,14.1,172.8,20.6,2012
262,Brandon Gibson,LAR,WR,16,763,47.7,73.1,0,10.7,6.7,10.7,150.1,19.7,2012
262,Dwayne Bowe,KC,WR,13,738,56.8,83.8,0,15.4,8,15.4,155.1,21,2012
262,Hakeem Nicks,NYG,WR,13,670,51.5,65.7,0,14.9,7.9,14.9,140.2,20.9,2012
262,Josh Bynes,BAL,ILB,10,211,21.1,31.1,0,0,0,0,27.5,13,2012
268,Jeremy Maclin,PHI,WR,15,975,65,86.5,0,12.5,7.1,12.5,194.7,20,2012
268,Elvis Dumervil,DEN,DE,16,923,57.7,86.3,0,0,0,0,119.3,12.9,2012
268,Ryan Clark,PIT,FS,15,883,58.9,89.6,0,0,0,0,114,12.9,2012
268,Quentin Groves,ARI,OLB,16,467,29.2,43.2,0,0,0,0,60.4,12.9,2012
